"subj" "activity" "feature" "value"
23 "SITTING" "tBodyAcc-mean-X" 0.2734
24 "SITTING" "tBodyAcc-mean-X" 0.2735
25 "SITTING" "tBodyAcc-mean-X" 0.2785
26 "SITTING" "tBodyAcc-mean-X" 0.2582
27 "SITTING" "tBodyAcc-mean-X" 0.2739
28 "SITTING" "tBodyAcc-mean-X" 0.277
29 "SITTING" "tBodyAcc-mean-X" 0.2772
30 "SITTING" "tBodyAcc-mean-X" 0.2683
1 "STANDING" "tBodyAcc-mean-X" 0.2789
2 "STANDING" "tBodyAcc-mean-X" 0.2779
3 "STANDING" "tBodyAcc-mean-X" 0.28
4 "STANDING" "tBodyAcc-mean-X" 0.2805
5 "STANDING" "tBodyAcc-mean-X" 0.2825
6 "STANDING" "tBodyAcc-mean-X" 0.2803
7 "STANDING" "tBodyAcc-mean-X" 0.2827
8 "STANDING" "tBodyAcc-mean-X" 0.2796
9 "STANDING" "tBodyAcc-mean-X" 0.2823
10 "STANDING" "tBodyAcc-mean-X" 0.2767
11 "STANDING" "tBodyAcc-mean-X" 0.2777
12 "STANDING" "tBodyAcc-mean-X" 0.2774
13 "STANDING" "tBodyAcc-mean-X" 0.2778
14 "STANDING" "tBodyAcc-mean-X" 0.2805
15 "STANDING" "tBodyAcc-mean-X" 0.2789
16 "STANDING" "tBodyAcc-mean-X" 0.2835
17 "STANDING" "tBodyAcc-mean-X" 0.2779
18 "STANDING" "tBodyAcc-mean-X" 0.2785
19 "STANDING" "tBodyAcc-mean-X" 0.2782
20 "STANDING" "tBodyAcc-mean-X" 0.2781
21 "STANDING" "tBodyAcc-mean-X" 0.277
22 "STANDING" "tBodyAcc-mean-X" 0.2791
23 "STANDING" "tBodyAcc-mean-X" 0.2779
24 "STANDING" "tBodyAcc-mean-X" 0.2803
25 "STANDING" "tBodyAcc-mean-X" 0.278
26 "STANDING" "tBodyAcc-mean-X" 0.2811
27 "STANDING" "tBodyAcc-mean-X" 0.2796
28 "STANDING" "tBodyAcc-mean-X" 0.2778
29 "STANDING" "tBodyAcc-mean-X" 0.278
30 "STANDING" "tBodyAcc-mean-X" 0.2771
1 "WALKING" "tBodyAcc-mean-X" 0.2773
2 "WALKING" "tBodyAcc-mean-X" 0.2764
3 "WALKING" "tBodyAcc-mean-X" 0.2756
4 "WALKING" "tBodyAcc-mean-X" 0.2786
5 "WALKING" "tBodyAcc-mean-X" 0.2778
6 "WALKING" "tBodyAcc-mean-X" 0.2837
7 "WALKING" "tBodyAcc-mean-X" 0.2756
8 "WALKING" "tBodyAcc-mean-X" 0.2747
9 "WALKING" "tBodyAcc-mean-X" 0.2785
10 "WALKING" "tBodyAcc-mean-X" 0.2786
11 "WALKING" "tBodyAcc-mean-X" 0.2718
12 "WALKING" "tBodyAcc-mean-X" 0.2771
13 "WALKING" "tBodyAcc-mean-X" 0.2759
14 "WALKING" "tBodyAcc-mean-X" 0.272
15 "WALKING" "tBodyAcc-mean-X" 0.2739
16 "WALKING" "tBodyAcc-mean-X" 0.276
17 "WALKING" "tBodyAcc-mean-X" 0.2723
18 "WALKING" "tBodyAcc-mean-X" 0.2739
19 "WALKING" "tBodyAcc-mean-X" 0.2739
20 "WALKING" "tBodyAcc-mean-X" 0.2726
21 "WALKING" "tBodyAcc-mean-X" 0.2792
22 "WALKING" "tBodyAcc-mean-X" 0.2789
23 "WALKING" "tBodyAcc-mean-X" 0.2732
24 "WALKING" "tBodyAcc-mean-X" 0.277
25 "WALKING" "tBodyAcc-mean-X" 0.279
26 "WALKING" "tBodyAcc-mean-X" 0.2793
27 "WALKING" "tBodyAcc-mean-X" 0.2768
28 "WALKING" "tBodyAcc-mean-X" 0.2812
29 "WALKING" "tBodyAcc-mean-X" 0.272
30 "WALKING" "tBodyAcc-mean-X" 0.2764
1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2892
2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2776
3 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2924
4 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.28
5 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2935
6 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.277
7 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2803
8 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2835
9 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2959
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2904
11 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2916
12 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2815
13 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2949
14 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2934
15 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2802
16 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2956
17 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2939
18 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2884
19 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2627
20 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2961
21 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.3015
22 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2845
23 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2899
24 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2886
25 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2913
26 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2793
27 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2975
28 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2936
29 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2931
30 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2832
1 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2555
2 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2472
3 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2608
4 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2709
5 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2685
6 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2682
7 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2487
8 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2589
9 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2624
10 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2671
11 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2638
12 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.273
13 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2582
14 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2624
15 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2702
16 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.256
17 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2526
18 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2654
19 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2421
20 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2521
21 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2652
22 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2484
23 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.25
24 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2699
25 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.278
26 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2727
27 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2658
28 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.262
29 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2654
30 "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.2714
1 "LAYING" "tBodyAcc-mean-Y" -0.0405
2 "LAYING" "tBodyAcc-mean-Y" -0.0182
3 "LAYING" "tBodyAcc-mean-Y" -0.019
4 "LAYING" "tBodyAcc-mean-Y" -0.015
5 "LAYING" "tBodyAcc-mean-Y" -0.0183
6 "LAYING" "tBodyAcc-mean-Y" -0.0103
7 "LAYING" "tBodyAcc-mean-Y" -0.0204
8 "LAYING" "tBodyAcc-mean-Y" -0.0212
9 "LAYING" "tBodyAcc-mean-Y" -0.0205
10 "LAYING" "tBodyAcc-mean-Y" -0.0243
11 "LAYING" "tBodyAcc-mean-Y" -0.0177
12 "LAYING" "tBodyAcc-mean-Y" -0.0175
13 "LAYING" "tBodyAcc-mean-Y" -0.0204
14 "LAYING" "tBodyAcc-mean-Y" -0.0113
15 "LAYING" "tBodyAcc-mean-Y" -0.0166
16 "LAYING" "tBodyAcc-mean-Y" -0.0166
17 "LAYING" "tBodyAcc-mean-Y" -0.0168
18 "LAYING" "tBodyAcc-mean-Y" -0.0174
19 "LAYING" "tBodyAcc-mean-Y" -0.0171
20 "LAYING" "tBodyAcc-mean-Y" -0.0144
21 "LAYING" "tBodyAcc-mean-Y" -0.0184
22 "LAYING" "tBodyAcc-mean-Y" -0.0143
23 "LAYING" "tBodyAcc-mean-Y" -0.0217
24 "LAYING" "tBodyAcc-mean-Y" -0.0174
25 "LAYING" "tBodyAcc-mean-Y" -0.0189
26 "LAYING" "tBodyAcc-mean-Y" -0.0192
27 "LAYING" "tBodyAcc-mean-Y" -0.018
28 "LAYING" "tBodyAcc-mean-Y" -0.0168
29 "LAYING" "tBodyAcc-mean-Y" -0.0172
30 "LAYING" "tBodyAcc-mean-Y" -0.0194
1 "SITTING" "tBodyAcc-mean-Y" -0.0013
2 "SITTING" "tBodyAcc-mean-Y" -0.0157
3 "SITTING" "tBodyAcc-mean-Y" -0.0035
4 "SITTING" "tBodyAcc-mean-Y" -0.0072
5 "SITTING" "tBodyAcc-mean-Y" -0.0099
6 "SITTING" "tBodyAcc-mean-Y" -0.0146
7 "SITTING" "tBodyAcc-mean-Y" -0.0146
8 "SITTING" "tBodyAcc-mean-Y" -0.0067
9 "SITTING" "tBodyAcc-mean-Y" -0.027
10 "SITTING" "tBodyAcc-mean-Y" -0.015
11 "SITTING" "tBodyAcc-mean-Y" -0.0149
12 "SITTING" "tBodyAcc-mean-Y" -0.0158
13 "SITTING" "tBodyAcc-mean-Y" -0.0059
14 "SITTING" "tBodyAcc-mean-Y" -0.0087
15 "SITTING" "tBodyAcc-mean-Y" -0.0117
16 "SITTING" "tBodyAcc-mean-Y" -0.0102
17 "SITTING" "tBodyAcc-mean-Y" -0.0142
18 "SITTING" "tBodyAcc-mean-Y" -0.0129
19 "SITTING" "tBodyAcc-mean-Y" -0.0167
20 "SITTING" "tBodyAcc-mean-Y" -0.0147
21 "SITTING" "tBodyAcc-mean-Y" -0.0144
22 "SITTING" "tBodyAcc-mean-Y" -0.0123
23 "SITTING" "tBodyAcc-mean-Y" -0.0134
24 "SITTING" "tBodyAcc-mean-Y" -0.0131
25 "SITTING" "tBodyAcc-mean-Y" -0.0148
26 "SITTING" "tBodyAcc-mean-Y" -0.0071
27 "SITTING" "tBodyAcc-mean-Y" -0.0155
28 "SITTING" "tBodyAcc-mean-Y" -0.0185
29 "SITTING" "tBodyAcc-mean-Y" -0.0166
30 "SITTING" "tBodyAcc-mean-Y" -0.008
1 "STANDING" "tBodyAcc-mean-Y" -0.0161
2 "STANDING" "tBodyAcc-mean-Y" -0.0184
3 "STANDING" "tBodyAcc-mean-Y" -0.0143
4 "STANDING" "tBodyAcc-mean-Y" -0.0095
5 "STANDING" "tBodyAcc-mean-Y" -0.007
6 "STANDING" "tBodyAcc-mean-Y" -0.0181
7 "STANDING" "tBodyAcc-mean-Y" -0.0146
8 "STANDING" "tBodyAcc-mean-Y" -0.0148
9 "STANDING" "tBodyAcc-mean-Y" -0.02
10 "STANDING" "tBodyAcc-mean-Y" -0.0155
11 "STANDING" "tBodyAcc-mean-Y" -0.0172
12 "STANDING" "tBodyAcc-mean-Y" -0.0169
13 "STANDING" "tBodyAcc-mean-Y" -0.0168
14 "STANDING" "tBodyAcc-mean-Y" -0.0152
15 "STANDING" "tBodyAcc-mean-Y" -0.0184
16 "STANDING" "tBodyAcc-mean-Y" -0.0166
17 "STANDING" "tBodyAcc-mean-Y" -0.0174
18 "STANDING" "tBodyAcc-mean-Y" -0.0166
19 "STANDING" "tBodyAcc-mean-Y" -0.0154
20 "STANDING" "tBodyAcc-mean-Y" -0.0181
21 "STANDING" "tBodyAcc-mean-Y" -0.0167
22 "STANDING" "tBodyAcc-mean-Y" -0.0159
23 "STANDING" "tBodyAcc-mean-Y" -0.0177
24 "STANDING" "tBodyAcc-mean-Y" -0.0145
25 "STANDING" "tBodyAcc-mean-Y" -0.0164
26 "STANDING" "tBodyAcc-mean-Y" -0.0167
27 "STANDING" "tBodyAcc-mean-Y" -0.0166
28 "STANDING" "tBodyAcc-mean-Y" -0.0173
29 "STANDING" "tBodyAcc-mean-Y" -0.0173
30 "STANDING" "tBodyAcc-mean-Y" -0.017
1 "WALKING" "tBodyAcc-mean-Y" -0.0174
2 "WALKING" "tBodyAcc-mean-Y" -0.0186
3 "WALKING" "tBodyAcc-mean-Y" -0.0172
4 "WALKING" "tBodyAcc-mean-Y" -0.0148
5 "WALKING" "tBodyAcc-mean-Y" -0.0173
6 "WALKING" "tBodyAcc-mean-Y" -0.0169
7 "WALKING" "tBodyAcc-mean-Y" -0.0187
8 "WALKING" "tBodyAcc-mean-Y" -0.0187
9 "WALKING" "tBodyAcc-mean-Y" -0.0181
10 "WALKING" "tBodyAcc-mean-Y" -0.017
11 "WALKING" "tBodyAcc-mean-Y" -0.0166
12 "WALKING" "tBodyAcc-mean-Y" -0.0156
13 "WALKING" "tBodyAcc-mean-Y" -0.0186
14 "WALKING" "tBodyAcc-mean-Y" -0.0218
15 "WALKING" "tBodyAcc-mean-Y" -0.0171
16 "WALKING" "tBodyAcc-mean-Y" -0.0204
17 "WALKING" "tBodyAcc-mean-Y" -0.0185
18 "WALKING" "tBodyAcc-mean-Y" -0.0178
19 "WALKING" "tBodyAcc-mean-Y" -0.0192
20 "WALKING" "tBodyAcc-mean-Y" -0.0212
21 "WALKING" "tBodyAcc-mean-Y" -0.0182
22 "WALKING" "tBodyAcc-mean-Y" -0.0167
23 "WALKING" "tBodyAcc-mean-Y" -0.0184
24 "WALKING" "tBodyAcc-mean-Y" -0.0225
25 "WALKING" "tBodyAcc-mean-Y" -0.0186
26 "WALKING" "tBodyAcc-mean-Y" -0.0154
27 "WALKING" "tBodyAcc-mean-Y" -0.0166
28 "WALKING" "tBodyAcc-mean-Y" -0.0157
29 "WALKING" "tBodyAcc-mean-Y" -0.0163
30 "WALKING" "tBodyAcc-mean-Y" -0.0176
1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0099
2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0227
3 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0194
4 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0098
5 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0085
6 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0195
7 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0166
8 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0211
9 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0204
10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.02
11 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0178
12 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0181
13 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0144
14 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.02
15 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0056
16 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0184
17 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0167
18 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0169
19 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0146
20 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0096
21 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0173
22 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0198
23 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0162
24 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0146
25 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.021
26 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0126
27 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0136
28 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.022
29 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0149
30 "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0174
1 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.024
2 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0214
3 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0324
4 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.032
5 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0325
6 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0272
7 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0276
8 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0282
9 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0195
10 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0144
11 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0303
12 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0264
13 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0277
14 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0204
15 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0288
16 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0144
17 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0229
18 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0222
19 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0304
20 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0282
21 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0237
22 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0269
23 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0324
24 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0252
25 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.027
26 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0282
27 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0201
28 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0279
29 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0299
30 "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0253
1 "LAYING" "tBodyAcc-mean-Z" -0.1132
2 "LAYING" "tBodyAcc-mean-Z" -0.1072
3 "LAYING" "tBodyAcc-mean-Z" -0.1013
4 "LAYING" "tBodyAcc-mean-Z" -0.1107
5 "LAYING" "tBodyAcc-mean-Z" -0.1079
6 "LAYING" "tBodyAcc-mean-Z" -0.1331
7 "LAYING" "tBodyAcc-mean-Z" -0.1014
8 "LAYING" "tBodyAcc-mean-Z" -0.1022
9 "LAYING" "tBodyAcc-mean-Z" -0.1075
10 "LAYING" "tBodyAcc-mean-Z" -0.1172
11 "LAYING" "tBodyAcc-mean-Z" -0.1088
12 "LAYING" "tBodyAcc-mean-Z" -0.1082
13 "LAYING" "tBodyAcc-mean-Z" -0.1043
14 "LAYING" "tBodyAcc-mean-Z" -0.0868
15 "LAYING" "tBodyAcc-mean-Z" -0.1185
16 "LAYING" "tBodyAcc-mean-Z" -0.1073
17 "LAYING" "tBodyAcc-mean-Z" -0.107
18 "LAYING" "tBodyAcc-mean-Z" -0.1077
19 "LAYING" "tBodyAcc-mean-Z" -0.109
20 "LAYING" "tBodyAcc-mean-Z" -0.1043
21 "LAYING" "tBodyAcc-mean-Z" -0.1033
22 "LAYING" "tBodyAcc-mean-Z" -0.1108
23 "LAYING" "tBodyAcc-mean-Z" -0.1043
24 "LAYING" "tBodyAcc-mean-Z" -0.1072
25 "LAYING" "tBodyAcc-mean-Z" -0.1004
26 "LAYING" "tBodyAcc-mean-Z" -0.105
27 "LAYING" "tBodyAcc-mean-Z" -0.1077
28 "LAYING" "tBodyAcc-mean-Z" -0.1083
29 "LAYING" "tBodyAcc-mean-Z" -0.1095
30 "LAYING" "tBodyAcc-mean-Z" -0.1037
1 "SITTING" "tBodyAcc-mean-Z" -0.1045
2 "SITTING" "tBodyAcc-mean-Z" -0.1092
3 "SITTING" "tBodyAcc-mean-Z" -0.0984
4 "SITTING" "tBodyAcc-mean-Z" -0.1059
5 "SITTING" "tBodyAcc-mean-Z" -0.1085
6 "SITTING" "tBodyAcc-mean-Z" -0.1101
7 "SITTING" "tBodyAcc-mean-Z" -0.1225
8 "SITTING" "tBodyAcc-mean-Z" -0.1045
9 "SITTING" "tBodyAcc-mean-Z" -0.0754
10 "SITTING" "tBodyAcc-mean-Z" -0.1043
11 "SITTING" "tBodyAcc-mean-Z" -0.1128
12 "SITTING" "tBodyAcc-mean-Z" -0.1063
13 "SITTING" "tBodyAcc-mean-Z" -0.0972
14 "SITTING" "tBodyAcc-mean-Z" -0.1004
15 "SITTING" "tBodyAcc-mean-Z" -0.1137
16 "SITTING" "tBodyAcc-mean-Z" -0.0891
17 "SITTING" "tBodyAcc-mean-Z" -0.1136
18 "SITTING" "tBodyAcc-mean-Z" -0.1119
19 "SITTING" "tBodyAcc-mean-Z" -0.1087
20 "SITTING" "tBodyAcc-mean-Z" -0.1084
21 "SITTING" "tBodyAcc-mean-Z" -0.1121
22 "SITTING" "tBodyAcc-mean-Z" -0.1058
23 "SITTING" "tBodyAcc-mean-Z" -0.1038
24 "SITTING" "tBodyAcc-mean-Z" -0.103
25 "SITTING" "tBodyAcc-mean-Z" -0.1092
26 "SITTING" "tBodyAcc-mean-Z" -0.0974
27 "SITTING" "tBodyAcc-mean-Z" -0.1055
28 "SITTING" "tBodyAcc-mean-Z" -0.1115
29 "SITTING" "tBodyAcc-mean-Z" -0.1104
30 "SITTING" "tBodyAcc-mean-Z" -0.0995
1 "STANDING" "tBodyAcc-mean-Z" -0.1106
2 "STANDING" "tBodyAcc-mean-Z" -0.1059
3 "STANDING" "tBodyAcc-mean-Z" -0.1016
4 "STANDING" "tBodyAcc-mean-Z" -0.0962
5 "STANDING" "tBodyAcc-mean-Z" -0.1022
6 "STANDING" "tBodyAcc-mean-Z" -0.1122
7 "STANDING" "tBodyAcc-mean-Z" -0.0998
8 "STANDING" "tBodyAcc-mean-Z" -0.1061
9 "STANDING" "tBodyAcc-mean-Z" -0.0953
10 "STANDING" "tBodyAcc-mean-Z" -0.108
11 "STANDING" "tBodyAcc-mean-Z" -0.1087
12 "STANDING" "tBodyAcc-mean-Z" -0.1055
13 "STANDING" "tBodyAcc-mean-Z" -0.1121
14 "STANDING" "tBodyAcc-mean-Z" -0.1038
15 "STANDING" "tBodyAcc-mean-Z" -0.1059
16 "STANDING" "tBodyAcc-mean-Z" -0.1037
17 "STANDING" "tBodyAcc-mean-Z" -0.1114
18 "STANDING" "tBodyAcc-mean-Z" -0.1085
19 "STANDING" "tBodyAcc-mean-Z" -0.109
20 "STANDING" "tBodyAcc-mean-Z" -0.1004
21 "STANDING" "tBodyAcc-mean-Z" -0.1104
22 "STANDING" "tBodyAcc-mean-Z" -0.105
23 "STANDING" "tBodyAcc-mean-Z" -0.1106
24 "STANDING" "tBodyAcc-mean-Z" -0.1082
25 "STANDING" "tBodyAcc-mean-Z" -0.1074
26 "STANDING" "tBodyAcc-mean-Z" -0.1102
27 "STANDING" "tBodyAcc-mean-Z" -0.1078
28 "STANDING" "tBodyAcc-mean-Z" -0.1066
